free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,W_ID
11.0,34.0,0.9978,3.51,0.56,9.4,5,0
25.0,67.0,0.9968,3.2,0.68,9.8,5,1
15.0,54.0,0.997,3.26,0.65,9.8,5,2
17.0,60.0,0.998,3.16,0.58,9.8,6,3
11.0,34.0,0.9978,3.51,0.56,9.4,5,4
13.0,40.0,0.9978,3.51,0.56,9.4,5,5
15.0,59.0,0.9964,3.3,0.46,9.4,5,6
15.0,21.0,0.9946,3.39,0.47,10.0,7,7
9.0,18.0,0.9968,3.36,0.57,9.5,7,8
17.0,102.0,0.9978,3.35,0.8,10.5,5,9
15.0,65.0,0.9959,3.28,0.54,9.2,5,10
17.0,102.0,0.9978,3.35,0.8,10.5,5,11
16.0,59.0,0.9943,3.58,0.52,9.9,5,12
9.0,29.0,0.9974,3.26,1.56,9.1,5,13
52.0,145.0,0.9986,3.16,0.88,9.2,5,14
51.0,148.0,0.9986,3.17,0.93,9.2,5,15
35.0,103.0,0.9969,3.3,0.75,10.5,7,16
16.0,56.0,0.9968,3.11,1.28,9.3,5,17
6.0,29.0,0.9974,3.38,0.5,9.0,4,18
17.0,56.0,0.9969,3.04,1.08,9.2,6,19
29.0,60.0,0.9968,3.39,0.53,9.4,6,20
23.0,71.0,0.9982,3.52,0.65,9.7,5,21
10.0,37.0,0.9966,3.17,0.91,9.5,5,22
9.0,67.0,0.9968,3.17,0.53,9.4,5,23
21.0,40.0,0.9968,3.43,0.63,9.7,6,24
11.0,23.0,0.9955,3.34,0.56,9.3,5,25
4.0,11.0,0.9962,3.28,0.59,9.5,5,26
10.0,37.0,0.9966,3.17,0.91,9.5,5,27
14.0,35.0,0.9972,3.47,0.55,9.4,5,28
8.0,16.0,0.9964,3.38,0.59,9.8,6,29
17.0,82.0,0.9958,3.35,0.54,10.1,5,30
22.0,37.0,0.9966,3.46,0.57,10.6,6,31
15.0,113.0,0.9966,3.17,0.66,9.8,5,32
40.0,83.0,0.9993,3.45,0.52,9.4,6,33
13.0,50.0,0.9957,3.38,0.55,9.2,5,34
5.0,18.0,0.9986,3.4,0.55,9.6,6,35
3.0,15.0,0.9975,3.42,0.6,10.8,6,36
13.0,30.0,0.9968,3.23,0.73,9.7,7,37
7.0,19.0,0.994,3.5,0.48,9.8,4,38
12.0,87.0,0.9978,3.33,0.83,10.5,5,39
12.0,87.0,0.9978,3.33,0.83,10.5,5,40
17.0,46.0,0.9976,3.26,0.51,9.3,4,41
8.0,14.0,0.9968,3.21,0.9,10.5,6,42
9.0,23.0,0.9968,3.3,1.2,10.3,5,43
5.0,11.0,0.9962,3.48,0.52,9.5,5,44
8.0,65.0,0.9934,3.9,0.56,13.1,4,45
22.0,114.0,0.997,3.25,0.73,9.2,5,46
12.0,37.0,0.9969,3.25,0.58,9.5,5,47
5.0,12.0,0.9958,3.34,0.56,9.2,5,48
12.0,96.0,0.9954,3.32,0.58,9.2,5,49
4.0,23.0,0.9971,3.15,0.74,9.2,5,50
8.0,15.0,0.9956,3.4,0.63,9.4,6,51
6.0,14.0,0.9955,3.39,0.64,9.4,6,52
30.0,119.0,0.997,3.2,0.56,9.4,5,53
33.0,73.0,0.9955,3.17,0.63,10.2,6,54
25.0,45.0,0.9978,3.34,0.53,9.5,5,55
4.0,10.0,0.9971,3.04,0.63,9.6,5,56
50.0,110.0,0.9983,3.26,0.77,9.4,5,57
17.0,54.0,0.9975,3.43,0.59,10.0,5,58
9.0,46.0,0.9962,3.41,0.54,9.4,6,59
19.0,52.0,0.998,3.44,0.64,9.2,5,60
20.0,112.0,0.9968,3.21,0.71,9.3,5,61
12.0,35.0,0.9968,3.38,0.62,9.5,7,62
13.0,54.0,0.9966,3.39,0.57,9.8,5,63
4.0,11.0,0.9962,3.41,0.39,10.9,5,64
4.0,11.0,0.9962,3.41,0.39,10.9,5,65
11.0,39.0,0.9968,3.42,0.58,9.6,5,66
6.0,15.0,0.9962,3.44,0.58,10.7,5,67
27.0,65.0,0.9969,3.28,0.79,10.7,5,68
8.0,19.0,0.9962,3.34,0.95,10.5,6,69
15.0,27.0,0.9967,3.32,0.54,9.5,6,70
17.0,96.0,0.9962,3.32,0.48,9.5,5,71
18.0,94.0,0.9961,3.31,0.48,9.5,5,72
11.0,43.0,0.9976,3.31,0.53,9.2,4,73
28.0,83.0,0.9984,3.28,0.82,9.6,5,74
9.0,42.0,0.9986,3.54,0.66,10.5,5,75
9.0,42.0,0.9986,3.54,0.66,10.5,5,76
14.0,30.0,0.9966,3.52,0.55,10.7,6,77
12.0,80.0,0.9958,3.38,0.52,10.1,5,78
27.0,119.0,0.9972,3.16,1.12,9.1,4,79
3.0,15.0,0.9958,3.41,0.56,9.2,5,80
22.0,67.0,0.9974,3.13,1.28,9.4,5,81
21.0,73.0,0.997,3.36,0.57,9.1,5,82
16.0,51.0,0.9969,3.16,1.14,9.4,5,83
18.0,61.0,0.9959,3.44,0.78,10.3,6,84
19.0,40.0,0.9961,3.41,0.59,10.1,5,85
20.0,136.0,0.9972,2.93,1.95,9.9,6,86
9.0,31.0,0.9966,3.39,0.64,9.6,5,87
34.0,125.0,0.9978,3.14,1.22,9.5,5,88
8.0,24.0,0.9978,3.48,0.53,9.0,5,89
42.0,140.0,0.9964,3.23,0.54,9.5,5,90
20.0,136.0,0.9972,2.93,1.95,9.9,6,91
19.0,133.0,0.9972,2.93,1.98,9.8,5,92
9.0,31.0,0.9966,3.39,0.64,9.6,5,93
41.0,85.0,0.9938,3.75,0.48,10.5,4,94
17.0,106.0,0.9932,3.85,0.6,12.9,6,95
8.0,23.0,0.9965,3.45,0.56,10.7,5,96
3.0,22.0,0.9963,3.25,0.63,9.2,5,97
5.0,10.0,0.9967,3.39,0.56,9.8,5,98
13.0,35.0,0.9972,3.3,0.59,9.0,6,99
11.0,50.0,0.9972,3.4,0.61,10.2,6,100
8.0,22.0,0.9959,3.31,0.56,10.4,6,101
13.0,35.0,0.9972,3.3,0.59,9.0,6,102
12.0,65.0,0.9967,3.29,0.51,9.2,5,103
5.0,36.0,0.996,3.33,0.48,9.4,5,104
12.0,65.0,0.9967,3.29,0.51,9.2,5,105
18.0,69.0,0.9973,3.08,1.31,9.3,5,106
15.0,64.0,0.9969,3.46,0.79,9.3,5,107
18.0,80.0,0.9976,3.37,0.8,9.6,6,108
37.0,153.0,0.9969,3.21,0.69,9.3,5,109
12.0,47.0,0.9964,3.19,0.93,9.5,5,110
11.0,108.0,0.9964,3.15,0.66,9.8,5,111
14.0,111.0,0.9964,3.15,0.66,9.8,5,112
