density,free sulfur dioxide,pH,quality,W_ID
0.9978,11.0,3.51,5,0
0.9968,25.0,3.2,5,1
0.997,15.0,3.26,5,2
0.998,17.0,3.16,6,3
0.9978,11.0,3.51,5,4
0.9978,13.0,3.51,5,5
0.9964,15.0,3.3,5,6
0.9946,15.0,3.39,7,7
0.9968,9.0,3.36,7,8
0.9978,17.0,3.35,5,9
0.9959,15.0,3.28,5,10
0.9978,17.0,3.35,5,11
0.9943,16.0,3.58,5,12
0.9974,9.0,3.26,5,13
0.9986,52.0,3.16,5,14
0.9986,51.0,3.17,5,15
0.9969,35.0,3.3,7,16
0.9968,16.0,3.11,5,17
0.9974,6.0,3.38,4,18
0.9969,17.0,3.04,6,19
0.9968,29.0,3.39,6,20
0.9982,23.0,3.52,5,21
0.9966,10.0,3.17,5,22
0.9968,9.0,3.17,5,23
0.9968,21.0,3.43,6,24
0.9955,11.0,3.34,5,25
0.9962,4.0,3.28,5,26
0.9966,10.0,3.17,5,27
0.9972,14.0,3.47,5,28
0.9964,8.0,3.38,6,29
0.9958,17.0,3.35,5,30
0.9966,22.0,3.46,6,31
0.9966,15.0,3.17,5,32
0.9993,40.0,3.45,6,33
0.9957,13.0,3.38,5,34
0.9986,5.0,3.4,6,35
0.9975,3.0,3.42,6,36
0.9968,13.0,3.23,7,37
0.994,7.0,3.5,4,38
0.9978,12.0,3.33,5,39
0.9978,12.0,3.33,5,40
0.9976,17.0,3.26,4,41
0.9968,8.0,3.21,6,42
0.9968,9.0,3.3,5,43
0.9962,5.0,3.48,5,44
0.9934,8.0,3.9,4,45
0.997,22.0,3.25,5,46
0.9969,12.0,3.25,5,47
0.9958,5.0,3.34,5,48
0.9954,12.0,3.32,5,49
0.9971,4.0,3.15,5,50
0.9956,8.0,3.4,6,51
0.9955,6.0,3.39,6,52
0.997,30.0,3.2,5,53
0.9955,33.0,3.17,6,54
0.9978,25.0,3.34,5,55
0.9971,4.0,3.04,5,56
0.9983,50.0,3.26,5,57
0.9975,17.0,3.43,5,58
0.9962,9.0,3.41,6,59
0.998,19.0,3.44,5,60
0.9968,20.0,3.21,5,61
0.9968,12.0,3.38,7,62
0.9966,13.0,3.39,5,63
0.9962,4.0,3.41,5,64
0.9962,4.0,3.41,5,65
0.9968,11.0,3.42,5,66
0.9962,6.0,3.44,5,67
0.9969,27.0,3.28,5,68
0.9962,8.0,3.34,6,69
